College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Abasaheb Kakade College of B Pharmacy, Shevgaon",https://www.careers360.com/colleges/abasaheb-kakade-college-of-b-pharmacy-shevgaon,Pharmacy,Satara,Private,D.Pharma,2 Years,N/A
"Abasaheb Kakade College of B Pharmacy, Shevgaon",https://www.careers360.com/colleges/abasaheb-kakade-college-of-b-pharmacy-shevgaon,Pharmacy,Satara,Private,B.Pharma,4 Years,N/A
"Abhinav Education Societys College of Pharmacy B Pharm, Haveli",https://www.careers360.com/colleges/abhinav-education-societys-college-of-pharmacy-b-pharm-haveli,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"Abhinav Education Societys College of Pharmacy B Pharm, Haveli",https://www.careers360.com/colleges/abhinav-education-societys-college-of-pharmacy-b-pharm-haveli,Pharmacy,Satara,Private,Pharma.D,6 Years,"Boys Hostel, Girls Hostel"
"Abhinav Education Societys College of Pharmacy B Pharm, Haveli",https://www.careers360.com/colleges/abhinav-education-societys-college-of-pharmacy-b-pharm-haveli,Pharmacy,Satara,Private,B.Pharma Practice,2 Years,"Boys Hostel, Girls Hostel"
"Abhinav Education Society's College of Pharmacy D Pharm, Pune",https://www.careers360.com/colleges/abhinav-education-societys-college-of-pharmacy-d-pharm-pune,Pharmacy,Satara,Private,D.Pharma,2 Years,N/A
"Abhinav Institute of Pharmacy, Kalyan",https://www.careers360.com/colleges/abhinav-institute-of-pharmacy-kalyan,Pharmacy,Satara,Private,No relevant courses found,N/A,N/A
"AC Patil Institute of Pharmacy, Navi Mumbai",https://www.careers360.com/colleges/ac-patil-institute-of-pharmacy-navi-mumbai,Pharmacy,Satara,Private,D.Pharma,2 Years,N/A
"VITA Sangli - Adarsh College of Pharmacy, Vita",https://www.careers360.com/colleges/adarsh-college-of-pharmacy-vita,Pharmacy,Satara,Private,B.Pharma,4 Years,N/A
"VITA Sangli - Adarsh College of Pharmacy, Vita",https://www.careers360.com/colleges/adarsh-college-of-pharmacy-vita,Pharmacy,Satara,Private,D.Pharma,2 Years,N/A
"VITA Sangli - Adarsh College of Pharmacy, Vita",https://www.careers360.com/colleges/adarsh-college-of-pharmacy-vita,Pharmacy,Satara,Private,M.Pharma Pharmacology,2 Years,N/A
"VITA Sangli - Adarsh College of Pharmacy, Vita",https://www.careers360.com/colleges/adarsh-college-of-pharmacy-vita,Pharmacy,Satara,Private,M.Pharma Pharmaceutics,2 Years,N/A
"Adarsh Institute of Pharmacy D Pharm, Vita",https://www.careers360.com/colleges/adarsh-institute-of-pharmacy-d-pharm-vita,Pharmacy,Satara,N/A,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Adarsh Shikshan Prasarak Mandal's D Pharmacy Institute, Osmanabad",https://www.careers360.com/colleges/adarsh-shikshan-prasarak-mandals-d-pharmacy-institute-osmanabad,Pharmacy,Satara,Private,D.Pharma,2 Years,"Girls Hostel, Boys Hostel"
"Adarsh Shikshan Sanstha's College of Pharmacy, Beed",https://www.careers360.com/colleges/adarsh-shikshan-sansthas-college-of-pharmacy-beed,Pharmacy,Satara,Private,No relevant courses found,N/A,N/A
"Aditya Diploma Institute of Pharmacy, Beed",https://www.careers360.com/colleges/aditya-diploma-institute-of-pharmacy-beed,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Aditya Pharmacy College, Beed",https://www.careers360.com/colleges/aditya-pharmacy-college-beed,Pharmacy,Satara,Private,B.Pharma,4 Years,"Boys Hostel, Girls Hostel"
"Aditya Pharmacy College, Beed",https://www.careers360.com/colleges/aditya-pharmacy-college-beed,Pharmacy,Satara,Private,D.Pharma,2 Years,"Boys Hostel, Girls Hostel"
"Aditya Pharmacy College, Beed",https://www.careers360.com/colleges/aditya-pharmacy-college-beed,Pharmacy,Satara,Private,M. Pharma Quality Assurance,2 Years,"Boys Hostel, Girls Hostel"
